SN,title,year,abstract,doi,keywords,Domain Filter,Transparency and Trust,,,Location,Ethical keywords
rayyan-319327228,Early Diagnosis of Knee Osteoarthritis With a Natural Language Processing–Driven Approach Based on Clinician Notes: Development and Validation Study,2025,"Background     Knee osteoarthritis (OA) is a common form of knee arthritis that can cause significant disability and affect a patient’s quality of life. Although this disease is chronic and irreversible, the patient’s condition can be improved and the progression of the disease can be prevented if the disease is diagnosed early and the patient receives appropriate treatment immediately. Therefore, the prediction of knee OA is considered one of the essential steps to effectively diagnose and prevent further severe OA conditions. Knee OA is commonly diagnosed by medical experts or physicians, and the diagnosis of OA is mainly based on patients’ laboratory results and medical images, including x-ray and magnetic resonance images. However, diagnosis through such data is often time-consuming. Moreover, the diagnosis results can vary among physicians depending on their expertise. Previous studies mostly focused on using approaches, such as those involving artificial intelligence, to automatically detect knee OA through such data. However, these studies did not incorporate clinicians’ or doctors’ notes (text data) into the analysis, although these data involving reported symptoms and behaviors are already available and easier to collect and access than laboratory data and image data.     Objective     We propose a novel natural language processing–driven approach based on clinicians’ or doctors’ notes of patient-reported symptoms (text data only) for diagnosing knee OA.     Methods     The textual information from clinicians’ or doctors’ notes was first preprocessed using text analysis algorithms with respect to natural language processing. We then incorporated deep learning models, including convolutional neural networks, bidirectional long short-term memory (BiLSTM), and gated recurrent units. Lastly, a disease-specific standard questionnaire called WOMAC (Western Ontario and McMaster Universities Arthritis Index) was taken into account to improve the overall performance of the models.     Results     Our experiment included 5849 records (OA: 3455; non-OA: 2394). Before applying our WOMAC-based processing approach, the best-performing model was BiLSTM (area under the curve, 0.85; accuracy, 0.87; precision, 0.85; sensitivity, 0.95; specificity, 0.76; F1-score, 0.90), and there was an improvement in the results with BiLSTM after applying our approach (area under the curve, 0.91; accuracy, 0.91; precision, 0.91; sensitivity, 0.94; specificity, 0.87; F1-score, 0.93).     Conclusions     Our proposed method for predicting the occurrence of knee OA showed better performance than other conventional methods that use image data and statistical laboratory data. The findings indicate the feasibility of using text data (symptom descriptions reported by patients and recorded by doctors) to predict knee OA. Medical notes of symptom reports can be considered a valuable data source for predicting whether a particular knee is likely to experience OA progression.",https://doi.org/10.2196/64536,computational communication;health informatics;natural language processing;artificial intelligence;text mining,Health,Yes,ScienceDirect,,Malaysia,"report, standard, depend, accuracy"
rayyan-319327366,"Combating microplastic pollution in Malaysia's marine ecosystems using technological solutions, policy instruments, and public participation: A review",2025,"Microplastic pollution poses a significant threat to marine ecosystems, impacting biodiversity and human health. These ecosystems, vital for supporting fisheries, regulating climate, and providing recreation, are highly vulnerable to pollutants like microplastics—tiny plastic particles under 5 mm in size. Microplastics originate from the breakdown of larger plastic debris and the release of microbeads from personal care products. This pollution poses a significant threat to marine ecosystems, affecting biodiversity and human health. The aim of this review is to assess the current state of microplastic pollution in Malaysia's marine environments and to evaluate the effectiveness of technological solutions, policy measures, and public engagement in addressing this challenge. Specifically, the review seeks to examine the role of advancements such as microplastic detection sensors and biodegradable materials, which show potential for mitigating pollution in the aquatic ecosystems. Recent studies show a 20 % improvement in detection accuracy through advanced sensor technologies, enhancing the precision of targeted clean-up operations. Pilot projects using biodegradable polymers have decreased microplastic release by 15 %, pointing to promising shifts in material usage. Stricter plastic waste management regulations have been implemented by the Malaysian government, including plastic bag bans in select states, resulting in a 30 % reduction in plastic bag usage and a corresponding decrease in microplastic inputs to marine ecosystems. Microplastic monitoring programs have led to a rise in public awareness, with a 40 % increase in voluntary clean-ups and a 50 % improvement in public understanding of microplastic issues. These combined efforts—advanced technology, policy enforcement, and community engagement—demonstrate a multi-faceted approach toward reducing microplastic pollution and fostering environmental stewardship in Malaysia. Overall, while advancements in technology, policy, and public engagement offer promise in reducing microplastic pollution, several challenges persist. Key barriers include the lack of a comprehensive national strategy, insufficient enforcement of existing policies, and limited awareness, especially in rural communities. This study underscores the importance of a multi-dimensional approach—combining technological innovations, strengthened regulatory frameworks, and active public participation—to effectively address microplastic pollution in Malaysia's marine ecosystems. The contribution of this work lies in its holistic perspective on combating microplastic pollution, emphasizing the critical roles of technology, policy, and community action. By advocating for integrated efforts, this review provides a foundation for ongoing research, informed policy-making, and community engagement that are essential to preserving marine ecosystems for future.",https://doi.org/10.1016/j.hazadv.2024.100542,Clean water;Microplastic pollution;Policy instruments;Public participation;Marine ecosystems,Law,Yes,ScienceDirect,,Brazil,"govern, regulat, policy, framework, monitor, review, assess, accuracy"
rayyan-319327660,Implementation challenges of disaster risk management policies: The organizational capacities of municipal civil defense units,2025,"The Sendai Framework for Disaster Risk Reduction has provided recommendations for disaster risk management policies. Several studies have contributed to them, generating knowledge about hazards and vulnerabilities. However, only some studies have delved into the capacities of municipalities to implement these national policies. This article analyzes the needs and organizational capacities of municipal civil defense units in Brazil and discusses cocreated proposals to catalyze national policy implementation at the municipal scale. The problem-oriented research conducted between October 2020 and December 2021 adopted mixed methods, composed of an online survey with 1993 municipalities, interviews with 31 municipalities' representatives across five regions of Brazil, and ten virtual focus groups with 260 participants. The qualitative and quantitative data were analyzed and summarized in five main topics that oriented the coproduction of proposals to catalyze policy implementation at the municipal level. These five main topics were centered on i) the professionalization of civil defense services; ii) funding sources to catalyze the implementation of municipal civil defense actions; iii) improving permanent communication among the national, state, and municipal civil defense units; iv) creating capacity development activities that are tailored to regional and biomes’ specificities; and v) fostering social and cross-sectoral participation in the civil defense policy.",https://doi.org/10.1016/j.ijdrr.2025.105291,Disaster risk reduction;Governance;Policy implementation;State capacities;Latin America,Law,Yes,ScienceDirect,,China,"policy, framework, risk"
rayyan-319328431,From information exposure to legal consciousness: The chain mediating role of political trust and social equality in Chinese college students,2025,"The cultivation of college students' legal consciousness in the digital media environment is crucial for advancing social responsibility, moral awareness, and rule-of-law societies. However, prior research often assumes a linear positive relationship between information exposure and legal consciousness, overlooking potential negative effects in which algorithmic biases and emotional framing in digital media may weaken legal consciousness. Existing studies rarely explore the chain mediation of political trust and social equality perceptions, particularly lacking empirical tests on Chinese college students. To address these gaps, we propose a chain mediation model examining relationships between information exposure, legal consciousness, political trust, and social equality, and their mediating mechanisms. Using structural equation modeling (SEM), with 213 Chinese college students, we find that information exposure does not enhance legal consciousness and exerts a direct negative effect on it. However, this effect is counterbalanced by two pathways: (1) the independent mediating role of political trust, and (2) the chain mediation through political trust followed by social equality. Consequently, the total indirect and total effects of information exposure on legal consciousness are non-significant. These results challenge the traditionally view that information exposure uniformly promotes positive cognitive empowerment. Specifically, algorithmic biases prioritizing emotional content and ideological shaping that rationalizes trust are key drivers reshaping Chinese college students' legal consciousness through nonlinear pathways.",https://doi.org/10.1016/j.actpsy.2025.105428,Information exposure;Political trust;Social equality;Legal consciousness;Chinese college students,Law,Yes,ScienceDirect,,Not clearly specified,"responsib, bias, depend, trust"
rayyan-319337468,A Hybrid Framework Combining Rule-Based and Deep Learning Approaches for Data-Driven Verdict Recommendations,2025,"As legal cases grow in complexity and volume worldwide, integrating machine learning and artificial intelligence into judicial systems has become a pivotal research focus. This study introduces a comprehensive framework for verdict recommendation that synergizes rule-based methods with deep learning techniques specifically tailored to the legal domain. The proposed framework comprises three core modules: legal feature extraction, semantic similarity assessment, and verdict recommendation. For legal feature extraction, a rule-based approach leverages Black’s Law Dictionary and WordNet Synsets to construct feature vectors from judicial texts. Semantic similarity between cases is evaluated using a hybrid method that combines rule-based logic with an LSTM model, analyzing the feature vectors of query cases against a legal knowledge base. Verdicts are then recommended through a rule-based retrieval system, enhanced by predefined legal statutes and regulations. By merging rule-based methodologies with deep learning, this framework addresses the interpretability challenges often associated with contemporary AI models, thereby enhancing both transparency and generalizability across diverse legal contexts. The system was rigorously tested using a legal corpus of 43,000 case laws across six categories: Criminal, Revenue, Service, Corporate, Constitutional, and Civil law, ensuring its adaptability across a wide range of judicial scenarios. Performance evaluation showed that the feature extraction module achieved an average accuracy of 91.6% with an F-Score of 95%. The semantic similarity module, tested using Manhattan, Euclidean, and Cosine distance metrics, achieved 88% accuracy and a 93% F-Score for short queries (Manhattan), 89% accuracy and a 93.7% F-Score for medium-length queries (Euclidean), and 87% accuracy with a 92.5% F-Score for longer queries (Cosine). The verdict recommendation module outperformed existing methods, achieving 90% accuracy and a 93.75% F-Score. This study highlights the potential of hybrid AI frameworks to improve judicial decision-making and streamline legal processes, offering a robust, interpretable, and adaptable solution for the evolving demands of modern legal systems.",https://doi.org/10.32604/cmc.2025.062340,Verdict recommendation;legal knowledge base;judicial text;case laws;semantic similarity;legal domain features;rule-based;deep learning,Law,Yes,ScienceDirect,,Not location-specific (Multi-country affiliations),"interpret, regulat, framework, assess, robust, accuracy"
rayyan-319337880,The protection of AI-based space systems from a data-driven governance perspective,2025,"Space infrastructures have long represented the pinnacle of technological and engineering achievements. This complexity has been further amplified by the advent of the new space race, where private actors are taking the lead, alongside states, in deploying thousands of satellites in outer space. The outer space environment of 2040 will look very different from today. Spacecraft will necessitate more frequent maneuvers to avoid potential collisions, with the need to be more conscious of their surroundings. Indeed, as the frequency of events and the number of space objects rises, decision-making tasks will increasingly challenge human operators, especially as physical and temporal margins diminish. Such complexity is enveloping thanks to the synergy of space technologies and Artificial Intelligence (AI), which is transforming the functioning of space systems. The forward trajectory clarifies the significance that AI in outer space will retain in the years ahead. The Corpus Juris Spatialis finds itself at a crossroads, faced with the defiance of withstanding the technological advances catalyzed by the impending integration of AI into all facets of space missions. Given the ubiquitous nature of AI, its implementation will invariably pose multifaceted legal challenges across diverse aspects of International Space Law. The acquired autonomy of space assets prompts crucial questions regarding the legal standards applicable to AI in outer space, and how these autonomous space systems should be protected against hostile interference. The main purpose of this paper, presented by the Space Law and Policy Project Group of the Space Generation Advisory Council (SGAC), is to examine the pivotal legal dimensions stemming from the automation of space-based applications from a ‘data-driven governance’ standpoint. The increase in production and acquisition of space data will just augment the sophistication of AI systems, therefore necessitating their data assets to be reliable, accurate, and consistent to safeguard the long-term success of AI technologies in space missions. The paper aims to address the overarching legal challenges posed by the integration of AI into outer space operations, specifically on cybersecurity, intellectual property, and data governance, which are critical for safeguarding autonomous systems. By examining the various nuances of these domains, it seeks to contribute to a comprehensive understanding of the legal landscape of the current AI-space pairing. Ultimately, the conclusion will offer a set of recommendations to pave the way for a secure, ethical evolution of autonomous space systems in the near future.",https://doi.org/10.1016/j.actaastro.2025.04.063,Artificial intelligence;Space law;Intellectual property;Cybersecurity;Data sharing;Dual-use systems,Law,Yes,ScienceDirect,,Unclear (Verify full text),"ethic, govern, policy, standard, reliab, safe, secure, consistent"
rayyan-319864101,Constructing a Novel Instrument to Measure Social-Emotional Self-Regulation in Students Aged 8-18,2024,"Background     The authors identified a need for instruments that measure a task model of self-regulation as opposed to an emotion model of self-regulation. Such instruments are particularly applicable to student populations.     Objective     This paper explains the construction of one such instrument, Steer Tracking. A four-factor bi-polar conceptual model of four necessary self-regulatory tasks is presented: Trust of Self, Trust of Others, Self-Disclosure and Seeking Change.     Methods     A novel assessment method was developed, requiring a participant to imagine a mental space in which they perform the four self-regulatory tasks. The instrument was deployed in populations of students aged 8-18 attending UK primary and secondary schools. Principal Component Analyses evaluated the proposed four-factor structure across two age groups: 8 to 12 years olds (n = 2171) and 13 to 18 years old (n = 658). A Support Vector Machine (SVM) model in a separate sample (n = 2518) evaluated the assessment’s utility in identifying students who display risk on three wellbeing measures: experiencing bullying, thinking about or engaging in self-harm, and struggling to cope with pressure at school.     Results & Discussion     Analyses provided initial support for the validity of the conceptual model and its ability to identify at-risk students. Key instrument features such as non-standardisation and generalised versus in-school comparison are explained.     Conclusion     Application, relevance and potential benefits of the Steer Tracking instrument for educators and school managers are explored.",https://doi.org/10.2174/0118743501284736240327051824,Self-regulation;Social-emotional;School;Student;Assessment;Trust;Self-disclosure;Seeking change,Education,Yes,ScienceDirect,,Croatia; Bosnia and Herzegovina,"explain, disclosure, regulat, standard, assess, trust, risk, valid"
rayyan-323305436,Perspectives of children and young people from Croatia and Bosnia and Herzegovina on their role in challenging perceived social and gender norms impacting school related gender-based violence,2023,"Child protection and safeguarding has historically tried to ‘save’ children from difficult or harmful circumstances and has often failed to recognise children’s agency or respect their participation rights. Given the particular socio-historical development of many South and Eastern European countries, the move to more transformative child protection and child safeguarding has been slow in moving away from the reliance on institutional care (Zouev & Unicef, 1999; Anghel, Herczog, Dima, 2013). This article introduces the methodology and empirical findings from an 8-country South and Eastern Europe research study focusing on Croatia and Bosnia and Herzegovina. These two post-communist countries share cultural and political history. The aim was to explore how social and gender norms impact school-related gender-based violence (SRGBV) and the potential role of children in challenging these social norms. Out of this mixed methodology study, with a participatory qualitative approach, researchers used a variety of research instruments with groups of children (aged 13 to 18). This research connects with social norms theory based on Cislaghi and Heise's (2019) dynamic framework that explores social norms as an adaptation of the socio-ecological model (Bronfenbrenner, 1992). This article provides an overview of the overarching concept, methodology, and findings of the study with a particular focus on Croatia and Bosnia and Herzegovina. Findings suggest that children and young people in these two countries witness various forms of violence, contributing to the normalisation of violence. Also, they recognised that if someone is “labelled” on various grounds, such as the socio-economic status of parents, behaviour, gender, nationality, culture, and ability, it is more likely that they will be a victim of violence. On a societal and institutional level, teachers and significant adults are not always perceived as trustworthy. Children pointed out that in Bosnia and Herzegovina, as well as in Croatia, institutions do not defend children's rights at the highest level. They find that the child protection system fails to be just and transparent and often acts on double standards depending on one family's status and influence, leaving vulnerable children at even more risk of being unprotected from different forms of violence. Strategies for prevention, support services and social change, especially for vulnerable children and young people, were identified for further implementation and follow-up research.",https://doi.org/10.1016/j.childyouth.2023.107000,Children’s perspectives;Violence;Child protection;Participatory methods;Social norms;School,Law,Yes,ScienceDirect,,Not location-specific,"transparent, standard, framework, depend, trust, safe, risk"
rayyan-309663859,Internet of Things for education: A smart and secure system for schools monitoring and alerting,2021,"The education system is one of the mechanisms and aspiration to build the society and contribute to human capital, well-being, and wealth. Security and privacy concerns in the educational organization is always significant due to various violent and terrorist activities. Technologies have been adopted for smart learning systems to improve the learning experience whereas security has been neglected inside or outside the institutions. The new integrated technologies have been adopted by using smart monitoring and sensing devices. The main objective of this paper is to analyze the Internet of Things (IoT) solutions specially designed for schools to provide smart and secure systems for educational settings. This paper also proposes a Secure system for the Internet of Schools Things (S-IoST) for smart schools based on a new advanced communication system integrated with 5 G cellular systems, sensing technologies, intelligent transportation systems, and IoT networks. The proposed system provides a more secure alert mechanism and facilitates the users at school and during mobility to the school or home. The proposed system evaluates in terms of data delivery, time, and response alert parameters .",https://doi.org/10.1016/j.compeleceng.2021.107275,"Smart school;Systems, Security;RFID;GSM;GPS;Activity tracking;Smart bags;Smart school bus;Surveillance camera;Sensor technology;Cybersecurity",Technology,Yes,ScienceDirect,,Pakistan,"monitor, secure, privacy"
rayyan-325716144,Assessing the Application of Artificial Intelligence and Machine Learning in Detecting Misinformation and Disinformation,2025,"Digital platforms have become an increasingly important aspect for society as a source of information. As societies’ reliance on digital information continues to increase, the proliferation of misinformation and disinformation presents new challenges that must be considered. These challenges, ranging from ethical dilemmas to political manipulation, will be analysed to assess the severity of misinformation and disinformation in a digital era. While exploring the formidable obstacles and challenges facing society, this chapter will examine the untapped potential of artificial intelligence (AI) and machine learning (ML) in combating the spread of false information. By drawing on the advancements in these fields, such as natural language processing, pattern recognition and anomaly detection, this chapter will discuss their viability to combat misinformation. Through the analysis of relevant literature, this chapter will provide a holistic overview of the challenges and opportunities in this domain while drawing on relevant case study examples. As digital landscapes evolve, the need for innovative detection techniques will shed light on the advancements that serve as the defence against the increasing threat of misinformation and disinformation. Content analysis methodologies will be examined to reveal how AI interprets content and verifies factual accuracy, providing insight into the evolving strategies designed to combat misinformation. An examination of algorithmic bias and fairness will highlight the ethical imperatives, ensuring that AI models contribute to the preservation of truth without inadvertently amplifying existing biases that many ML models are susceptible to. Furthermore, it will delve into the challenges of explainability and transparency in AI systems, emphasising the need for interpretable models to build user trust. This chapter will then proceed to analyse the future implications, exploring the potential consequences of AI-driven misinformation and disinformation detection systems on society, where ethical considerations must be prioritised, and the evolving legal frameworks necessary for effective data protection. By integrating insights from computer science, social sciences, law, and ethics, this chapter aims to reveal the path forward in safeguarding truth in the era of AI and ML. © The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003051725&doi=10.1007%2f978-3-031-76473-8_5&partnerID=40&md5=529965e030b3544ffd04d9ad1fe12158,Artificial intelligence; Disinformation; Ethical considerations; Machine learning; Misinformation,Technology,Yes,Scopus,,United Kingdom,"explain, interpret, ethic, framework, assess, fair, bias, trust, safe, accuracy"
rayyan-325716150,"Harnessing AI for sustainable higher education: ethical considerations, operational efficiency, and future directions",2025,"As higher education faces technological advancement and environmental imperatives, AI becomes a key instrument for revolutionizing instructional methods and institutional operations. AI can improve educational outcomes, resource management, and long-term sustainability in higher education, according to this study. The research uses case studies and best practices to show how AI-driven innovations can minimize environmental impact, enhance energy efficiency, and customize learning, creating a more sustainable and inclusive academic environment. The document discusses AI ethics, including data privacy, algorithmic prejudice, and the digital divide. It emphasizes the need for strong ethical frameworks to use AI ethically and make decisions with transparency and fairness. The study also emphasizes the need for robust institutional rules and infrastructure to promote ethical AI integration, protecting student privacy and supporting fair access to AI technologies. The research also shows how AI-driven curriculum-building tools can educate students for future sustainability concerns and stimulate research innovation. The prospects and difficulties of AI in higher education are critically examined, including its potential to change traditional educational roles, improve academic performance, and maintain institutional profitability. Actionable recommendations for educators, politicians, and institutional leaders contribute to the education sustainability conversation. Focusing on AI and sustainability creates the framework for a future where technology and environmental stewardship are intimately connected, ensuring that higher education institutions can prosper in a fast-changing world. © The Author(s) 2025.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218103177&doi=10.1007%2fs43621-025-00809-6&partnerID=40&md5=d9e568084f4e8132313869389c5be97b,artificial intelligence; energy efficiency; environmental impact; ethics; higher education; resou...,Technology,Yes,Scopus,,Pakistan,"ethic, document, framework, fair, robust, privacy"
rayyan-325716165,Design and Implementation of an Electronic Voting System Using Blockchain Technology,2025,"E-voting utilizes electronic systems to enhance the efficiency, accessibility, and reliability of casting and counting votes compared to traditional paper-based methods. Blockchain integration into e-voting systems solves critical challenges such as data security, voter anonymity, and election transparency. This paper presents the design and implementation of an e-voting application that uses blockchain to improve the integrity and reliability of election processes. Developed using the Swift programming language, the application features secure user authentication, anonymous voting, and immutable vote storage on a private blockchain network. This research contributes to the growing knowledge body on blockchain applications beyond cryptocurrencies, offering practical insight into its implementation for secure digital governance. The findings underscore the potential of blockchain-based e-voting systems to modernize democratic processes while addressing usability and security issues.",10.1109/INFOTEH64129.2025.10959191,Electric potential;Privacy;Computer languages;Technological innovation;Scalability;Authentication;Blockchains;Stakeholders;Electronic voting;Usability;Electronic voting;e-Voting;eVoting;blockchain technology;secure voting systems;Swift programming language,Education,Yes,IEEE,,Serbia,"govern, reliab, secure"
rayyan-325716214,Tokenization of Digital Assets for Ethical and Equitable Model Training in an AI-Based Proctoring Application,2023,"The COVID-19 pandemic catalyzed a significant shift in education towards online learning and remote examination processes. AI-based proctoring tools emerged to maintain exam integrity but raised ethical, bias, and privacy concerns. This paper proposes a blockchain-driven architecture to address these issues. Our approach incentivizes genuine data collection through blockchain-powered crowdsourcing, rewarding contributors with crypto tokens. It ensures decentralization by using a voting system to validate labels given by annotators for user images, with winners also receiving tokens. Emphasizing user privacy, our model enables users to retract image access, triggering server image removal and model retraining. To enhance accessibility, our trained models are available as a service through layered APIs accessed via crypto tokens. This proposed architecture aims to reconcile the challenges of online proctoring while prioritizing ethics, fairness, data reliability, and inclusivity.",10.1109/CSCI62032.2023.00279,Training;Crowdsourcing;COVID-19;Ethics;Privacy;Pandemics;Computer architecture;proctoring;ethics;academic integrity;machine learning;model training;crowdsourcing;blockchain;tokenomics;model as a service,Education,Yes,IEEE,,United States,"ethic, fair, bias, reliab, privacy, valid"
rayyan-325716837,"Transforming Shahjahanabad into a Smart Heritage City Integrating Good Governance, Speech, and IoT Technologies for Sustainable Urban Development",2023,"This paper proposes transforming Shahjahanabad into a Smart Heritage City by integrating good governance principles, speech technology, and IoT. Good governance, encompassing principles like Accountability, Transparency, Equity & Inclusiveness/ Fairness, Performance/Responsiveness, Effectiveness & Efficiency/ Direction, Participation/ Legitimacy & Voice, is crucial for sustainable development. Speech technology, including multilingual voice recognition and NLP, enhances communication and responsiveness. IoT monitors air quality, traffic, waste management, and energy usage, optimizing resource utilization. Collaboration, cybersecurity, and digital literacy are vital for success. This approach aims to preserve Shahjahanabad’s historical appeal while addressing modern infrastructure and environmental challenges, ultimately enhancing the city’s livability.Speech technology is crucial for improving communication and accessibility in diverse communities. Multilingual voice recognition and synthesis systems break down language barriers, aiding authorities and citizens.To integrate governance, speech tech, and IoT in Shahjahanabad, partnerships between government, businesses, and communities are essential. Robust cybersecurity and digital literacy programs are needed to protect data and ensure inclusion.Good governance principles are vital for sustainable development. Speech tech enhances communication, and IoT optimizes urban planning. Collaboration, cybersecurity, and digital literacy are key for success in the sustainable development of the heritage city of Shahjahanabad.",10.1109/O-COCOSDA60357.2023.10482930,Waste management;Urban planning;Government;Collaboration;Speech recognition;Speech enhancement;Resource management;Good governance;Speech technology;Internet of Things;Multilingual voice recognition;Natural language processing,Technology,Yes,IEEE,,Japan,"accountab, govern, monitor, fair, equity, robust"
